CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"12,063",-245,"1,742",-,"2,839.70",410.30,75,"2,834.75","2,849.30",75,"21,000.00","5,850",2.70,2.85,"5,100",-1.60,2.80,38.17,"1,51,696","21,607","94,892",
,21,1,1,-,"2,820.00",917.20,"1,725","2,568.70","2,877.85","1,725","21,050.00","1,275",2.40,3.20,375,-2.10,2.40,36.87,"5,167",155,462,
,22,1,1,-,"2,746.90",546.90,225,"2,727.10","2,772.60",225,"21,100.00",300,2.55,2.75,150,-1.95,2.75,36.84,"18,063",922,"3,113",
,20,1,1,-,"2,702.60",895.80,"1,725","2,490.70","2,786.05","1,725","21,150.00",75,3.00,4.00,"1,500",-2.30,2.50,35.81,"5,698",517,930,
,137,-19,25,-,"2,647.00",429.40,300,"2,634.15","2,661.40",300,"21,200.00",300,2.85,3.05,"1,425",-1.90,3.05,36.04,"55,790","7,970","16,809",
,170,-,2,-,"2,586.00",504.70,300,"2,579.80","2,633.95",300,"21,250.00",300,3.00,3.05,"2,550",-2.30,3.05,35.41,"6,291",156,"1,350",
,231,-5,7,-,"2,531.60",386.00,150,"2,493.45","2,557.55",150,"21,300.00","1,725",3.05,4.00,"5,250",-2.55,3.00,34.71,"30,771","-1,455","6,561",
,348,-1,1,-,"2,501.90",523.20,300,"2,444.05","2,516.55",300,"21,350.00","3,300",3.00,4.90,"1,500",-2.75,3.00,34.08,"7,316",345,"1,055",
,306,-21,39,-,"2,447.15",407.30,75,"2,437.70","2,458.35",225,"21,400.00",300,3.70,3.75,"14,550",-2.35,3.75,34.41,"48,822","6,241","12,384",
,214,-1,1,-,"2,395.20",948.45,150,"2,375.30","2,436.10",525,"21,450.00","1,800",3.50,4.00,"1,350",-2.35,4.00,34.05,"6,268",376,"1,139",
,"4,244",-622,"1,462",-,"2,352.65",421.25,75,"2,339.60","2,352.15",225,"21,500.00","1,500",4.65,4.80,"1,125",-1.95,4.80,34.22,"1,57,407","18,650","62,013",
,331,-,5,-,"2,297.20",462.90,450,"2,252.60","2,313.75",75,"21,550.00",150,4.25,5.00,"3,000",-2.45,4.75,33.52,"9,357",469,"1,917",
,556,196,338,-,"2,261.40",429.15,375,"2,198.80","2,274.40",75,"21,600.00",600,4.60,5.25,300,-2.15,5.15,33.23,"51,152","1,912","10,195",
,408,-,4,-,"2,181.20",399.70,150,"2,146.00","2,219.65",75,"21,650.00",75,5.05,5.90,"1,725",-1.90,5.90,33.20,"8,336",18,"1,482",
,396,-39,65,-,"2,158.95",420.05,375,"2,107.05","2,159.55",150,"21,700.00","1,500",5.75,6.05,225,-2.10,6.00,32.68,"37,165","3,920","9,731",
,192,-1,5,-,"2,105.00",421.65,750,"2,039.55","2,153.15",750,"21,750.00","2,700",5.50,6.70,150,-2.05,6.70,32.45,"7,963",651,"2,259",
,"1,472",-258,285,-,"2,064.75",422.50,300,"2,000.70","2,091.05",300,"21,800.00","2,475",6.50,6.95,"1,350",-2.80,6.50,31.70,"95,697","4,549","25,522",
,136,-2,5,-,"1,994.00",416.00,75,"1,991.40","2,022.65",75,"21,850.00",675,5.90,7.20,"1,050",-2.70,7.00,31.29,"9,826",704,"2,790",
,"1,702",-60,99,-,"1,972.90",440.50,300,"1,937.90","1,962.00",150,"21,900.00","1,800",6.90,8.20,"1,500",-3.45,6.90,30.87,"46,738",71,"12,349",
,535,-5,11,-,"1,906.25",426.75,300,"1,886.85","1,941.80",75,"21,950.00",225,7.45,9.00,75,-3.25,7.50,30.24,"18,357",43,"3,247",
,"28,373",-729,"3,252",-,"1,850.45",413.20,525,"1,848.70","1,857.05",75,"22,000.00","69,525",8.50,8.55,300,-3.05,8.50,30.14,"2,58,845","29,524","95,380",
,535,-2,10,-,"1,805.95",412.25,750,"1,773.20","1,860.50","1,350","22,050.00",75,8.00,9.55,"1,500",-3.75,8.50,29.43,"14,310","1,302","2,922",
,"6,506",-50,217,-,"1,771.65",427.45,300,"1,742.85","1,760.45",525,"22,100.00","1,200",8.35,9.00,750,-4.15,9.00,29.00,"75,280","10,944","26,215",
,248,-7,15,-,"1,695.00",446.00,150,"1,653.95","1,714.00",150,"22,150.00",150,9.00,11.20,75,-4.70,9.50,28.54,"16,546",156,"2,718",
,"2,786",-291,467,-,"1,672.65",421.45,150,"1,603.15","1,662.35",150,"22,200.00",75,10.05,10.50,150,-4.95,10.15,28.14,"97,065","6,952","21,657",
,308,5,78,-,"1,609.55",408.30,150,"1,593.95","1,645.15",300,"22,250.00",150,10.45,10.95,225,-5.00,11.55,28.04,"15,602",799,"2,534",
,"1,933",-235,566,-,"1,566.60",425.70,75,"1,553.00","1,561.95",75,"22,300.00",450,11.75,11.85,525,-6.00,11.75,27.39,"87,772","4,359","19,133",
,563,-78,118,-,"1,523.40",436.55,375,"1,479.35","1,512.45",150,"22,350.00",600,11.50,12.35,225,-6.65,12.45,26.62,"22,698",-81,"3,744",
,"7,644",-294,"1,150",-,"1,467.65",414.85,525,"1,453.95","1,463.60",525,"22,400.00",600,12.50,13.15,525,-8.10,12.85,26.35,"1,08,809","7,306","22,451",
,"1,288",-63,156,-,"1,417.90",426.10,150,"1,385.35","1,438.25",150,"22,450.00",225,13.50,14.50,450,-9.15,13.70,25.91,"28,999","-1,117","3,135",
,"22,807","-3,221","9,189",-,"1,367.60",412.00,525,"1,354.50","1,368.65",225,"22,500.00",300,14.15,14.95,"1,725",-11.10,14.00,25.26,"2,30,705","6,338","59,908",
,820,-121,182,-,"1,312.90",412.95,150,"1,307.05","1,358.00",900,"22,550.00",75,15.00,16.55,"1,500",-11.85,15.35,24.94,"28,166",526,"4,076",
,"6,754",-596,"1,875",-,"1,260.55",409.60,75,"1,254.65","1,267.40",150,"22,600.00",75,16.10,16.70,525,-13.95,16.30,24.46,"1,02,339","6,500","24,483",
,727,-71,185,-,"1,214.40",392.10,225,"1,188.45","1,233.50",300,"22,650.00",750,16.10,18.00,225,-15.00,18.00,24.17,"31,913","3,774","6,070",
,"7,528",-784,"2,625",-,"1,163.85",398.00,825,"1,159.20","1,167.40",825,"22,700.00","1,050",18.50,18.90,525,-17.85,18.60,23.51,"1,22,896","3,468","22,190",
,616,-31,920,-,"1,120.20",397.00,600,"1,064.10","1,157.75",375,"22,750.00",300,19.00,20.20,225,-20.60,19.95,23.62,"41,199","3,898","7,118",
,"6,280","-1,586","5,963",-,"1,066.95",388.00,150,"1,063.10","1,072.90",375,"22,800.00",225,21.00,21.60,150,-24.20,21.00,22.54,"1,44,277","3,155","27,604",
,993,-129,337,-,"1,015.20",387.50,150,987.00,"1,060.00",300,"22,850.00",450,22.05,24.80,"1,500",-27.60,23.05,22.41,"40,012",518,"4,856",
,"7,468","-1,112","3,511",-,971.00,384.65,150,961.60,979.95,"2,475","22,900.00",675,23.85,25.50,600,-32.70,23.85,21.52,"1,41,159","-2,074","18,634",
,"1,255",-334,943,-,944.00,400.05,150,914.10,930.55,75,"22,950.00","1,425",25.00,28.00,75,-36.55,27.35,21.45,"53,448",-185,"5,092",
,"26,356","-2,926","46,488",-,870.25,372.50,825,870.80,879.50,150,"23,000.00",75,28.20,30.20,"2,775",-41.80,30.00,21.01,"4,33,617","17,385","93,038",
,"1,892",-195,"2,284",-,789.50,330.80,75,821.20,864.25,150,"23,050.00",225,31.05,33.55,600,-49.25,32.45,20.55,"60,700","2,094","6,170",
,"5,592",-761,"14,991",-,778.45,357.60,525,777.30,784.65,525,"23,100.00",525,33.40,37.00,225,-58.75,33.30,19.79,"1,89,939","5,154","21,415",
,"1,495",-12,"4,178",-,737.00,353.45,525,727.40,742.40,375,"23,150.00",75,38.00,40.00,75,-65.35,39.05,19.91,"65,784","1,344","6,287",
,"11,284","-2,722","48,594",-,689.30,342.60,75,688.30,690.00,75,"23,200.00",225,42.00,43.85,675,-74.85,43.10,19.40,"2,62,765","12,047","32,647",
,"1,646","-1,321","18,247",-,644.85,331.90,450,633.05,649.50,150,"23,250.00",75,46.50,49.00,150,-86.00,47.50,19.01,"90,081","2,080","7,616",
,"30,328","-5,101","1,77,555",9.73,600.00,319.85,75,598.70,605.55,150,"23,300.00",375,51.15,53.75,75,-98.30,52.95,18.69,"3,85,955","13,541","60,055",
,"6,518","-1,078","86,256",12.21,562.00,313.60,525,553.10,566.65,225,"23,350.00",450,58.00,60.00,75,-111.85,58.05,18.26,"1,37,237","6,032","13,629",
,"32,527","-2,078","3,35,999",12.52,512.00,292.90,75,511.00,518.90,750,"23,400.00",375,63.20,66.85,525,-123.40,66.85,18.10,"4,20,025","16,639","52,713",
,"2,893","-2,209","94,180",10.70,463.35,269.80,150,462.15,477.65,150,"23,450.00",150,71.15,74.60,600,-142.45,71.50,17.52,"1,18,448","5,523","9,020",
,"67,642","-7,002","4,40,720",11.51,425.10,256.55,825,426.55,432.50,600,"23,500.00","3,600",80.00,82.55,150,-159.30,80.00,17.59,"4,77,176","48,657","1,11,890",
,"2,689","-1,542","87,382",12.48,390.00,242.35,150,387.00,399.90,75,"23,550.00",150,86.50,94.45,600,-178.85,89.00,16.84,"76,440","6,280","8,187",
,"21,542","-3,646","2,81,297",12.38,351.95,224.45,150,351.00,351.95,300,"23,600.00",150,102.75,105.95,75,-192.15,105.95,17.09,"2,21,939","22,676","34,912",
,"4,948",-804,"1,00,757",12.96,321.20,211.85,300,309.15,317.70,600,"23,650.00",150,117.10,120.85,75,-213.30,117.00,16.68,"68,189","7,066","8,966",
,"26,004","-5,810","3,56,012",12.78,280.50,186.65,675,280.00,280.50,150,"23,700.00","8,550",132.10,134.00,600,-230.00,134.00,16.81,"1,96,673","19,485","32,948",
,"6,387","1,825","1,17,221",12.89,249.55,169.60,300,247.00,252.95,150,"23,750.00",150,148.10,152.40,150,-248.45,151.00,16.53,"57,642","5,730","6,488",
,"44,216","2,965","4,29,565",12.57,218.50,150.25,150,215.95,218.50,75,"23,800.00",300,169.95,172.00,375,-263.55,172.00,16.51,"2,02,359","22,834","40,055",
,"13,408","8,258","1,53,141",12.55,193.00,134.85,375,190.00,192.85,150,"23,850.00",75,190.00,194.65,375,-290.25,191.75,16.30,"69,694","11,859","12,069",
,"25,806","2,513","2,90,441",12.71,166.20,116.65,300,162.20,166.20,75,"23,900.00",75,213.00,220.90,75,-298.25,221.00,16.67,"62,584","8,335","11,693",
,"6,481",899,"1,02,484",12.74,143.10,101.40,75,140.75,143.05,150,"23,950.00",75,242.00,248.00,75,-315.60,242.40,16.31,"7,776","1,523","1,655",
,"74,534","-4,661","7,14,799",12.73,121.90,85.40,300,120.00,122.15,150,"24,000.00",75,272.00,274.40,375,-332.05,273.00,16.51,"76,105","8,960","27,320",
,"6,099",-504,"1,00,911",12.85,100.00,69.20,300,100.00,104.70,150,"24,050.00",450,297.00,309.00,225,-345.10,299.65,16.26,"1,848",431,554,
,"27,625","13,070","2,60,175",12.87,88.00,61.70,225,86.00,88.00,"2,700","24,100.00",225,333.15,344.40,150,-357.65,338.05,16.81,"4,478",851,"1,347",
,"5,697","2,174","92,274",12.71,71.55,49.55,225,70.00,75.30,150,"24,150.00",75,340.15,405.60,75,-445.05,369.95,16.72,423,117,175,
,"35,526","20,348","3,10,804",12.98,60.50,41.35,"6,000",59.00,62.90,300,"24,200.00",150,405.10,415.00,"1,125",-375.90,413.00,17.45,"5,525","1,758","2,361",
,"5,466","2,431","77,921",12.37,44.90,28.45,225,47.90,54.00,225,"24,250.00",450,416.65,462.45,75,-385.55,454.45,17.95,248,45,160,
,"25,587","5,822","2,27,743",13.21,43.10,29.10,"3,975",43.10,44.00,"4,050","24,300.00",300,490.35,502.65,300,-386.70,494.85,18.28,"1,839",171,"1,031",
,"9,422","7,055","76,842",13.24,35.15,22.85,900,35.15,39.00,"3,825","24,350.00",75,488.60,578.90,75,-979.30,520.00,16.98,179,8,174,
,"21,489","11,855","1,61,496",13.69,31.50,21.10,"3,525",30.00,31.50,225,"24,400.00",150,576.35,590.45,300,-398.30,580.35,19.13,561,173,607,
,"4,647","1,105","68,935",13.78,25.95,16.90,"1,275",25.00,25.95,"16,875","24,450.00",375,582.95,663.70,375,-63.30,968.00,49.20,4,-,48,
,"73,629","26,684","4,90,154",14.08,22.50,14.35,"21,225",21.00,22.25,150,"24,500.00",150,663.00,679.00,450,-400.10,679.15,21.15,"8,776",84,"7,709",
,"10,006","8,157","66,942",14.31,19.20,12.10,750,17.25,18.20,225,"24,550.00",225,683.65,762.85,75,-406.55,819.00,31.03,2,-1,18,
,"21,111","13,348","1,61,253",14.45,15.95,9.75,225,15.00,15.95,300,"24,600.00",150,741.05,776.15,75,-420.30,750.70,19.79,219,15,266,
,"5,446","3,944","41,023",14.65,13.50,7.95,"1,425",13.00,13.45,"1,275","24,650.00",450,773.95,861.05,225,-388.60,829.85,24.30,7,-3,27,
,"25,805","16,547","1,49,899",14.75,11.05,6.20,"1,275",10.80,11.05,75,"24,700.00",225,854.50,906.20,150,-398.50,852.00,21.82,210,130,420,
,"7,837","6,119","47,046",15.24,10.30,6.10,75,9.20,9.70,75,"24,750.00",150,887.35,958.70,225,"-1,256.95",924.70,25.67,1,1,25,
,"31,964","10,832","1,44,462",15.36,8.50,4.85,675,7.40,8.30,150,"24,800.00",300,951.10,965.00,150,-456.75,948.25,23.10,157,37,288,
,"12,770","4,579","64,426",15.47,7.00,3.85,"1,500",6.70,7.60,75,"24,850.00",300,984.25,"1,059.00",300,-896.80,"1,015.25",26.36,2,1,21,
,"18,358","8,219","1,07,433",15.92,6.50,3.65,525,5.95,6.50,375,"24,900.00",450,"1,037.90","1,110.60",900,-448.00,"1,041.00",23.72,24,-,88,
,"4,235","1,226","25,909",15.85,5.00,2.35,225,5.50,5.70,75,"24,950.00",600,"1,050.35","1,157.85",300,-904.55,"1,100.45",26.06,3,1,18,
,"1,06,060","39,796","3,60,569",16.57,4.80,2.30,"2,325",4.80,5.70,750,"25,000.00",75,"1,154.00","1,164.90",150,-409.95,"1,154.00",27.46,"4,031",-562,"13,210",
,"3,968","2,856","30,967",16.43,3.90,1.55,300,4.30,4.75,300,"25,050.00",300,"1,144.20","1,216.60",75,-970.15,"1,198.30",27.44,1,1,25,
,"13,651","6,225","81,927",16.92,3.75,1.70,"1,050",3.70,4.70,225,"25,100.00",225,"1,196.15","1,266.50",225,-502.40,"1,255.30",29.38,4,-,47,
,"2,858","2,082","15,624",16.79,2.80,0.70,525,3.50,4.55,75,"25,150.00",75,"1,286.50","1,317.85",75,-877.20,"1,304.30",30.08,3,3,28,
,"14,362","10,037","80,740",17.63,3.20,1.25,300,3.05,3.20,150,"25,200.00","1,650","1,308.40","1,408.60","1,200",-476.40,"1,343.60",29.13,97,60,273,
,"3,107","2,530","13,914",18.11,3.05,1.15,300,2.80,2.95,300,"25,250.00",750,"1,344.40","1,453.55",750,-524.95,"1,397.30",30.59,1,1,15,
,"22,399","19,256","1,02,738",18.27,2.60,0.80,300,2.45,2.55,75,"25,300.00","2,325","1,428.55","1,461.25",225,-421.00,"1,445.50",31.09,26,13,93,
,"5,891","3,512","18,347",18.72,2.50,0.70,300,2.30,2.50,"1,950","25,350.00",750,"1,448.75","1,558.05",750,-878.15,"1,505.00",33.53,10,6,13,
,"12,454","7,921","54,815",18.95,2.20,0.45,825,2.20,2.30,675,"25,400.00",300,"1,498.50","1,607.75",300,-404.35,"1,560.00",35.17,11,-3,43,
,"3,441","2,152","18,352",19.36,2.10,0.35,600,2.10,2.25,300,"25,450.00",750,"1,543.25","1,655.60",750,-495.10,"1,615.00",36.80,3,3,31,
,"1,88,824","89,241","4,16,039",20.06,2.25,0.50,"97,050",2.25,2.30,"1,350","25,500.00",75,"1,645.00","1,661.00",75,-415.55,"1,653.80",35.76,"1,430",-625,"13,298",
